"project","organism","file_source","project_home","project_type","n_samples"
"SRP173487","mouse","sra","data_sources/sra","data_sources",6
"SRP113787","mouse","sra","data_sources/sra","data_sources",2
"SRP056987","mouse","sra","data_sources/sra","data_sources",6
"SRP042287","mouse","sra","data_sources/sra","data_sources",9
"SRP212087","mouse","sra","data_sources/sra","data_sources",6
"SRP221587","mouse","sra","data_sources/sra","data_sources",10
"SRP046087","mouse","sra","data_sources/sra","data_sources",36
"SRP219587","mouse","sra","data_sources/sra","data_sources",18
"SRP057387","mouse","sra","data_sources/sra","data_sources",41
"SRP159687","mouse","sra","data_sources/sra","data_sources",6
"SRP007487","mouse","sra","data_sources/sra","data_sources",12
"ERP013887","mouse","sra","data_sources/sra","data_sources",6
"ERP109687","mouse","sra","data_sources/sra","data_sources",16
"SRP091587","mouse","sra","data_sources/sra","data_sources",2
"SRP216087","mouse","sra","data_sources/sra","data_sources",10
"SRP213887","mouse","sra","data_sources/sra","data_sources",6
"SRP165687","mouse","sra","data_sources/sra","data_sources",6
"SRP001587","mouse","sra","data_sources/sra","data_sources",4
"SRP194587","mouse","sra","data_sources/sra","data_sources",729
"SRP102687","mouse","sra","data_sources/sra","data_sources",6
"SRP113587","mouse","sra","data_sources/sra","data_sources",24
"SRP188087","mouse","sra","data_sources/sra","data_sources",19
"SRP195587","mouse","sra","data_sources/sra","data_sources",6
"SRP224587","mouse","sra","data_sources/sra","data_sources",65
"SRP018287","mouse","sra","data_sources/sra","data_sources",59
"SRP166787","mouse","sra","data_sources/sra","data_sources",5
"SRP237787","mouse","sra","data_sources/sra","data_sources",13
"SRP047387","mouse","sra","data_sources/sra","data_sources",24
"SRP074687","mouse","sra","data_sources/sra","data_sources",5
"ERP010887","mouse","sra","data_sources/sra","data_sources",54
"SRP006787","mouse","sra","data_sources/sra","data_sources",38
"SRP050387","mouse","sra","data_sources/sra","data_sources",6
"SRP121187","mouse","sra","data_sources/sra","data_sources",1
"SRP156887","mouse","sra","data_sources/sra","data_sources",6
"SRP097787","mouse","sra","data_sources/sra","data_sources",16
"SRP170687","mouse","sra","data_sources/sra","data_sources",8
"SRP051387","mouse","sra","data_sources/sra","data_sources",18
"SRP100687","mouse","sra","data_sources/sra","data_sources",21
"SRP172787","mouse","sra","data_sources/sra","data_sources",96
"SRP200126","mouse","sra","data_sources/sra","data_sources",16
"SRP072526","mouse","sra","data_sources/sra","data_sources",38
"SRP121126","mouse","sra","data_sources/sra","data_sources",1
"SRP068326","mouse","sra","data_sources/sra","data_sources",12
"SRP074626","mouse","sra","data_sources/sra","data_sources",19
"SRP125326","mouse","sra","data_sources/sra","data_sources",2
"SRP156226","mouse","sra","data_sources/sra","data_sources",17
"SRP132926","mouse","sra","data_sources/sra","data_sources",22
"SRP091426","mouse","sra","data_sources/sra","data_sources",8
"SRP102726","mouse","sra","data_sources/sra","data_sources",3
"SRP201126","mouse","sra","data_sources/sra","data_sources",6
"SRP185726","mouse","sra","data_sources/sra","data_sources",18
"SRP095626","mouse","sra","data_sources/sra","data_sources",6
"DRP003926","mouse","sra","data_sources/sra","data_sources",8
"SRP234626","mouse","sra","data_sources/sra","data_sources",50
"ERP005226","mouse","sra","data_sources/sra","data_sources",3
"SRP125226","mouse","sra","data_sources/sra","data_sources",8
"SRP224526","mouse","sra","data_sources/sra","data_sources",9
"SRP017526","mouse","sra","data_sources/sra","data_sources",5
"SRP061626","mouse","sra","data_sources/sra","data_sources",54
"SRP124826","mouse","sra","data_sources/sra","data_sources",44
"SRP069826","mouse","sra","data_sources/sra","data_sources",24
"SRP214926","mouse","sra","data_sources/sra","data_sources",118
"SRP094526","mouse","sra","data_sources/sra","data_sources",1119
"SRP108126","mouse","sra","data_sources/sra","data_sources",12
"SRP019026","mouse","sra","data_sources/sra","data_sources",2
"SRP036026","mouse","sra","data_sources/sra","data_sources",10
"SRP091726","mouse","sra","data_sources/sra","data_sources",5
"SRP152326","mouse","sra","data_sources/sra","data_sources",4
"SRP056926","mouse","sra","data_sources/sra","data_sources",22
"SRP188226","mouse","sra","data_sources/sra","data_sources",17
"SRP042326","mouse","sra","data_sources/sra","data_sources",60
"SRP161726","mouse","sra","data_sources/sra","data_sources",40
"SRP151926","mouse","sra","data_sources/sra","data_sources",8
"ERP104326","mouse","sra","data_sources/sra","data_sources",12
"SRP234526","mouse","sra","data_sources/sra","data_sources",4
"SRP048626","mouse","sra","data_sources/sra","data_sources",6
"SRP108026","mouse","sra","data_sources/sra","data_sources",1504
"SRP119326","mouse","sra","data_sources/sra","data_sources",30
"SRP032926","mouse","sra","data_sources/sra","data_sources",57
"ERP104926","mouse","sra","data_sources/sra","data_sources",33
"SRP220426","mouse","sra","data_sources/sra","data_sources",7
"ERP112326","mouse","sra","data_sources/sra","data_sources",47
"SRP132526","mouse","sra","data_sources/sra","data_sources",24
"SRP151726","mouse","sra","data_sources/sra","data_sources",20
"SRP233226","mouse","sra","data_sources/sra","data_sources",45
"SRP096126","mouse","sra","data_sources/sra","data_sources",20
"SRP103126","mouse","sra","data_sources/sra","data_sources",24
"SRP197326","mouse","sra","data_sources/sra","data_sources",24
"SRP020526","mouse","sra","data_sources/sra","data_sources",61
"SRP049826","mouse","sra","data_sources/sra","data_sources",16
"SRP067226","mouse","sra","data_sources/sra","data_sources",6
"SRP073926","mouse","sra","data_sources/sra","data_sources",5
"SRP045426","mouse","sra","data_sources/sra","data_sources",100
"ERP107626","mouse","sra","data_sources/sra","data_sources",3
"SRP093326","mouse","sra","data_sources/sra","data_sources",20
"SRP216726","mouse","sra","data_sources/sra","data_sources",12
"SRP098626","mouse","sra","data_sources/sra","data_sources",20
"SRP062126","mouse","sra","data_sources/sra","data_sources",16
"ERP016626","mouse","sra","data_sources/sra","data_sources",6
"SRP110826","mouse","sra","data_sources/sra","data_sources",14
